,,,,,reach_x, impressions_x, amount_x, clicks_x, cpreach_x, cpm_x, engagement_x, cpr_x,reach_y, impressions_y, amount_y, clicks_y, cpreach_y, cpm_y, engagement_y, cpr_y,outcome
270.00,4867.00,5098.00,4.00,923.66,1.05,100.00,9.24,1.96,189.78,181.18,121.00,230.91,1.05,100.00,9.24,1.96,189.78,181.18,121.00,230.91,273.93
698.00,7308.00,7482.00,7.00,574.58,1.02,63.00,9.12,0.84,78.62,76.79,76.00,82.08,1.02,63.00,9.12,0.84,78.62,76.79,76.00,82.08,95.36
505.00,4317.00,4446.00,4.00,900.23,1.03,67.00,13.44,1.51,208.53,202.48,86.00,225.06,1.03,67.00,13.44,1.51,208.53,202.48,86.00,225.06,267.19
968.00,1761.00,1854.00,2.00,345.07,1.05,60.00,5.75,3.24,195.95,186.12,18.00,172.53,1.05,60.00,5.75,3.24,195.95,186.12,18.00,172.53,207.26
669.00,4014.00,4298.00,2.00,491.49,1.07,26.00,18.90,0.60,122.44,114.35,17.00,245.75,1.07,26.00,18.90,0.60,122.44,114.35,17.00,245.75,293.25
151.00,2574.00,2700.00,4.00,820.25,1.05,65.00,12.62,2.41,318.67,303.80,40.00,205.06,1.05,65.00,12.62,2.41,318.67,303.80,40.00,205.06,245.24
618.00,945.00,997.00,1.00,223.50,1.06,25.00,8.94,2.51,236.51,224.17,20.00,223.50,1.06,25.00,8.94,2.51,236.51,224.17,20.00,223.50,265.69
108.00,3368.00,3479.00,2.00,799.53,1.03,79.00,10.12,2.27,237.39,229.82,59.00,399.76,1.03,79.00,10.12,2.27,237.39,229.82,59.00,399.76,475.29
701.00,48416.00,123392.00,71.00,1398.63,2.55,87.00,16.08,0.07,28.89,11.33,73.00,19.70,2.55,87.00,16.08,0.07,28.89,11.33,73.00,19.70,17.43
53.00,3696.00,3909.00,8.00,823.19,1.06,106.00,7.77,2.71,222.72,210.59,51.00,102.90,1.06,106.00,7.77,2.71,222.72,210.59,51.00,102.90,121.75
610.00,2806.00,2954.00,5.00,507.05,1.05,40.00,12.68,1.35,180.70,171.65,38.00,101.41,1.05,40.00,12.68,1.35,180.70,171.65,38.00,101.41,122.47
355.00,11805.00,12717.00,8.00,2001.67,1.08,226.00,8.86,1.78,169.56,157.40,0.00,250.21,1.08,226.00,8.86,1.78,169.56,157.40,0.00,250.21,298.88
