id,reach,impressions,results,amount,frequency,clicks,cpc,ctr,cpreach,cpm,engagement,cpr
31,5056,5232,4,847.47,1.03481,118,7.181949,2.255352,167.616693,161.978211,50,211.8675
32,2521,2606,2,566.86,1.033717,69,8.215362,2.647736,224.855216,217.521105,450,283.43
33,4010,4172,6,655.79,1.040399,149,4.401275,3.571429,163.538653,157.188399,71,109.29833333333
34,1498,1586,3,526.77,1.058745,59,8.928305,3.72005,351.648865,332.137453,21,175.59
35,8268,8453,10,1013.85,1.022375,187,5.421658,2.212232,122.623367,119.939666,189,101.385
36,2519,2686,2,857.31,1.066296,85,10.086,3.164557,340.337435,319.177215,43,428.655
37,1822,1918,3,523.16,1.052689,50,10.4632,2.606882,287.135016,272.763295,317,174.38666666667
38,8262,8604,7,996.19,1.041394,183,5.443661,2.126918,120.574921,115.782194,196,142.31285714286
39,3562,3698,3,796.37,1.038181,60,13.272833,1.622499,223.573835,215.351541,29,265.45666666667
40,1701,1772,4,480.94,1.04174,70,6.870571,3.950339,282.739565,271.410835,287,120.235
41,6942,7185,3,967.67,1.035004,207,4.674734,2.881002,139.393547,134.679193,162,322.55666666667
42,3156,3369,2,766.42,1.06749,91,8.422198,2.701098,242.845374,227.491837,32,383.21
43,6004,6258,6,1011.36,1.042305,205,4.933463,3.275807,168.447702,161.610738,127,168.56
44,2038,2128,2,766.92,1.044161,65,11.798769,3.054511,376.310108,360.394737,35,383.46
45,1905,2007,2,496.95,1.053543,64,7.764844,3.188839,260.866142,247.608371,288,248.475
46,5586,5756,9,1014.78,1.030433,113,8.980354,1.963169,181.664876,176.299514,126,112.75333333333
47,2689,2867,2,856.68,1.066196,83,10.321446,2.895012,318.586835,298.807115,33,428.34
48,1959,2070,2,482.37,1.056662,68,7.093676,3.285024,246.232772,233.028986,330,241.185
49,8422,8794,2,991.69,1.04417,150,6.611267,1.705708,117.749941,112.768933,204,495.845
50,4823,5143,4,798.21,1.066349,94,8.491596,1.827727,165.500726,155.203189,46,199.5525
51,1989,2095,1,517.93,1.053293,82,6.31622,3.914081,260.397185,247.221957,390,517.93
52,7764,8038,4,1005.48,1.035291,206,4.880971,2.562827,129.50541,125.090819,158,251.37
53,3696,3909,8,823.19,1.05763,106,7.765943,2.711691,222.724567,210.588386,51,102.89875
54,2141,2232,1,523.78,1.042504,63,8.313968,2.822581,244.64269,234.668459,393,523.78
55,7062,7131,9,1012.83,1.009771,167,6.06485,2.341888,143.419711,142.031973,158,112.53666666667
56,2284,2476,8,792.17,1.084063,93,8.517957,3.756058,346.834501,319.939418,42,99.02125
57,1734,1857,2,494.71,1.070934,66,7.495606,3.55412,285.299885,266.4028,345,247.355
58,5032,5403,8,963.74,1.073728,192,5.019479,3.553581,191.522258,178.371275,128,120.4675
59,2004,2107,4,760.17,1.051397,56,13.574464,2.657807,379.326347,360.783104,26,190.0425
60,1333,1394,1,487.46,1.045761,35,13.927429,2.51076,365.686422,349.684362,238,487.46
61,2424,2478,4,248.41,1.022277,109,2.278991,4.398709,102.479373,100.246166,31,62.1025
62,5246,5677,1,973.74,1.082158,192,5.071563,3.382068,185.615707,171.523692,113,973.74
63,2477,2666,3,802.24,1.076302,69,11.626667,2.588147,323.875656,300.915229,33,267.41333333333
64,855,903,2,491.88,1.05614,50,9.8376,5.537099,575.298246,544.717608,212,245.94
65,305,308,3,28.49,1.009836,32,0.890313,10.38961,93.409836,92.5,9,9.4966666666667
66,1501,1598,3,360.53,1.064624,78,4.622179,4.881101,240.193205,225.613267,24,120.17666666667
67,7482,8282,19,814.75,1.106923,414,1.967995,4.998793,108.894681,98.375996,136,42.881578947368
68,6518,6669,4,992.15,1.023167,118,8.408051,1.769381,152.216938,148.77043,89,248.0375
69,3174,3395,3,827.13,1.069628,80,10.339125,2.356406,260.595463,243.631811,43,275.71
70,1055,1135,1,498.31,1.075829,34,14.656176,2.995595,472.331754,439.039648,225,498.31
71,467,474,1,26.3,1.014989,33,0.79697,6.962025,56.316916,55.485232,15,26.3
72,8876,10038,14,766.77,1.130915,550,1.394127,5.479179,86.386886,76.38673,189,54.769285714286
73,6238,6429,5,976.79,1.030619,141,6.927589,2.193187,156.587047,151.934982,117,195.358
74,2416,2537,10,796.01,1.050083,74,10.756892,2.916831,329.474338,313.760347,45,79.601
75,1169,1248,3,501.17,1.067579,42,11.932619,3.365385,428.716852,401.578526,258,167.05666666667
76,1375,1461,7,82.21,1.062545,123,0.668374,8.418891,59.789091,56.269678,42,11.744285714286
77,1509,1602,2,484.03,1.06163,72,6.722639,4.494382,320.762094,302.141074,28,242.015
78,8814,9934,20,800.01,1.127071,668,1.19762,6.724381,90.765827,80.532515,207,40.0005
79,4981,5156,3,895.27,1.035134,123,7.278618,2.38557,179.737001,173.63654,74,298.42333333333
80,2048,2220,3,786.17,1.083984,78,10.079103,3.513514,383.87207,354.130631,29,262.05666666667
81,996,1074,2,497.03,1.078313,50,9.9406,4.655493,499.026104,462.783985,249,248.515
82,1307,1423,18,83.18,1.088753,157,0.529809,11.033029,63.641928,58.45397,52,4.6211111111111
83,8400,9844,34,775.39,1.171905,779,0.995366,7.91345,92.308333,78.767777,248,22.805588235294
84,4547,4638,6,804.73,1.020013,95,8.470842,2.048297,176.980427,173.507978,72,134.12166666667
85,2684,2884,2,813.85,1.074516,97,8.390206,3.363384,303.222802,282.194868,36,406.925
86,1212,1339,2,504.32,1.104785,65,7.758769,4.854369,416.105611,376.639283,280,252.16
87,1412,1532,7,85.06,1.084986,139,0.611942,9.073107,60.240793,55.522193,43,12.151428571429
88,1773,1923,4,508.61,1.084602,94,5.410745,4.888196,286.864072,264.48778,23,127.1525
89,8598,10103,31,820.94,1.175041,1002,0.819301,9.917846,95.480344,81.257052,307,26.481935483871
90,3911,4011,1,828.34,1.025569,71,11.666761,1.770132,211.797494,206.517078,69,828.34
91,2647,2921,6,814.41,1.103513,89,9.150674,3.046902,307.672837,278.812051,41,135.735
92,1138,1233,3,519.57,1.08348,49,10.603469,3.974047,456.564148,421.386861,230,173.19
93,1447,1573,11,95.57,1.087077,136,0.702721,8.6459,66.046994,60.756516,43,8.6881818181818
94,1190,1249,1,518.85,1.04958,41,12.654878,3.282626,436.008403,415.41233,12,518.85
95,6836,9114,57,840.19,1.333236,1258,0.667878,13.802941,122.906671,92.186746,391,14.740175438596
96,4159,4286,3,810.41,1.030536,88,9.209205,2.053196,194.856937,189.083061,58,270.13666666667
97,2870,3087,5,803.49,1.07561,105,7.652286,3.401361,279.961672,260.281827,36,160.698
98,1115,1180,3,414.45,1.058296,47,8.818085,3.983051,371.704036,351.228814,249,138.15
99,1272,1382,15,96.88,1.086478,161,0.601739,11.649783,76.163522,70.101302,52,6.4586666666667
100,1748,1897,1,493.53,1.08524,85,5.806235,4.480759,282.339817,260.163416,20,493.53
101,7704,8517,7,745.09,1.10553,251,2.968486,2.947047,96.714694,87.482682,68,106.44142857143
102,3629,3718,3,788.44,1.024525,89,8.858876,2.39376,217.260953,212.060247,56,262.81333333333
