Campaign name,Ad set name,Ad name,Age,Gender,Objective,Day,Reach,Impressions,Frequency,Amount spent (INR),Result Type,Results,Cost per result,Clicks (all),CPC (all),CTR (all),Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",Post engagement,Reporting starts,Reporting ends
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,female,LEAD_GENERATION,2021-11-02,204,212,1.0392156862745,46.15,On-Facebook leads,1,46.15,4,11.5375,1.88679245,1,46.15,217.68867925,2,2021-11-02,2021-11-02
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,35-44,male,LEAD_GENERATION,2021-11-02,1458,1557,1.0679012345679,223.24863155598,On-Facebook leads,1,223.24863155598,45,4.9610807,2.89017341,8,27.90607894,143.3838353,9,2021-11-02,2021-11-02
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,45-54,male,LEAD_GENERATION,2021-11-02,1254,1329,1.0598086124402,200.229803739,On-Facebook leads,1,200.229803739,49,4.08632253,3.68698269,11,18.20270943,150.66200432,12,2021-11-02,2021-11-02
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,18-24,male,LEAD_GENERATION,2021-11-02,1588,1698,1.0692695214106,316.85386491598,On-Facebook leads,1,316.85386491598,30,10.5617955,1.76678445,6,52.80897749,186.60416073,8,2021-11-02,2021-11-02
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-02,824,860,1.0436893203883,146.14,On-Facebook leads,3,48.713333333333,26,5.62076923,3.02325581,7,20.87714286,169.93023256,7,2021-11-02,2021-11-02
SVGI-AJ-LG-31-Oct-21,SVGI-KL-31-Oct-21,SVGI-AJ-KL-Malayalam-31-Oct-21,18-24,female,LEAD_GENERATION,2021-11-01,340,360,1.0588235294118,36.643264931087,On-Facebook leads,1,36.643264931087,9,4.07147388,2.5,2,18.32163247,101.78684703,2,2021-11-01,2021-11-01
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,25-34,male,LEAD_GENERATION,2021-11-01,1749,1900,1.0863350485992,303.81263084179,On-Facebook leads,1,303.81263084179,32,9.49414471,1.68421053,8,37.97657886,159.90138465,8,2021-11-01,2021-11-01
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-31-Oct-21,18-24,male,LEAD_GENERATION,2021-11-01,1223,1338,1.0940310711365,156.84103329999,On-Facebook leads,1,156.84103329999,35,4.48117238,2.61584454,7,22.4058619,117.22050321,7,2021-11-01,2021-11-01
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,45-54,male,LEAD_GENERATION,2021-11-01,1048,1213,1.1574427480916,144.44486451127,On-Facebook leads,1,144.44486451127,40,3.61112161,3.29760923,9,16.04942939,119.08067973,10,2021-11-01,2021-11-01
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,18-24,male,LEAD_GENERATION,2021-11-01,2339,2570,1.0987601539119,245.94125598163,On-Facebook leads,1,245.94125598163,14,17.56723257,0.54474708,2,122.97062799,95.69698676,3,2021-11-01,2021-11-01
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,25-34,male,LEAD_GENERATION,2021-11-01,2733,3002,1.0984266373948,577.59946444443,On-Facebook leads,2,288.79973222221,52,11.10768201,1.73217855,6,96.26657741,192.40488489,7,2021-11-01,2021-11-01
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,25-34,male,LEAD_GENERATION,2021-12-21,799,1049,1.3128911138924,914.21,On-Facebook leads,3,304.73666666667,11,83.11,1.04861773,5,182.842,871.50619638,5,2021-12-21,2021-12-21
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,25-34,male,LEAD_GENERATION,2021-12-18,863,1161,1.3453070683662,805.3,On-Facebook leads,1,805.3,16,50.33125,1.37812231,7,115.04285714,693.62618432,7,2021-12-18,2021-12-18
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,45-54,male,LEAD_GENERATION,2021-12-18,188,259,1.3776595744681,232.89,On-Facebook leads,1,232.89,6,38.815,2.31660232,3,77.63,899.18918919,3,2021-12-18,2021-12-18
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,35-44,male,LEAD_GENERATION,2021-12-18,456,599,1.3135964912281,464.77,On-Facebook leads,1,464.77,7,66.39571429,1.16861436,3,154.92333333,775.90984975,3,2021-12-18,2021-12-18
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,45-54,male,LEAD_GENERATION,2021-12-17,169,247,1.4615384615385,174.67,On-Facebook leads,1,174.67,6,29.11166667,2.4291498,1,174.67,707.1659919,3,2021-12-17,2021-12-17
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,25-34,male,LEAD_GENERATION,2021-12-17,857,1238,1.4445740956826,772.84,On-Facebook leads,3,257.61333333333,29,26.64965517,2.34248788,13,59.44923077,624.26494346,14,2021-12-17,2021-12-17
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,25-34,male,LEAD_GENERATION,2021-12-16,814,1155,1.4189189189189,771.86,On-Facebook leads,1,771.86,20,38.593,1.73160173,8,96.4825,668.27705628,10,2021-12-16,2021-12-16
